,wind_speed,hourly_highest,hourly_lowest,24_avg_temp,sunshine_duration,24_precipitation,24_avg_humidity,evaporation,Year-Month,flu: (Netherlands),Influenza: (Netherlands),Griep: (Netherlands),Total Search,ISO_YEAR,ISO_WEEK,INF_A,INF_B,ILI_ACTIVITY,SPEC_PROCESSED_NB
0,30.580645161290324,52.58064516129032,18.70967741935484,173.93548387096774,52.70967741935484,36.54838709677419,82.3225806451613,23.06451612903226,2008-08,5,5,1,11,2008,35,1.0,0.0,3.0,0.0
1,27.7,48.666666666666664,16.333333333333332,136.1,48.9,33.233333333333334,83.3,16.166666666666668,2008-09,5,7,2,14,6024,115,1.0,1.0,8.0,0.0
2,29.903225806451612,50.0,16.129032258064516,100.80645161290323,43.12903225806452,29.322580645161292,86.3225806451613,9.290322580645162,2008-10,6,11,2,19,8032,170,1.0,0.0,10.0,7.0
3,34.3,56.666666666666664,19.333333333333332,68.53333333333333,17.833333333333332,30.0,89.63333333333334,3.5,2008-11,9,9,3,21,8032,186,5.0,0.0,11.0,0.0
4,29.29032258064516,47.41935483870968,18.387096774193548,24.483870967741936,27.387096774193548,7.612903225806452,89.16129032258064,2.4838709677419355,2008-12,7,11,3,21,10041,203,76.0,0.0,20.0,52.0
5,32.935483870967744,52.25806451612903,20.967741935483872,7.967741935483871,32.516129032258064,17.129032258064516,86.25806451612904,3.129032258064516,2009-01,12,20,10,42,8036,14,378.0,1.0,24.0,557.0
6,26.75,47.857142857142854,17.142857142857142,33.07142857142857,16.964285714285715,19.535714285714285,87.5,4.0,2009-02,9,12,4,25,8036,30,123.0,37.0,23.0,252.0
7,30.096774193548388,54.83870967741935,17.096774193548388,63.25806451612903,45.83870967741935,15.419354838709678,80.70967741935483,11.32258064516129,2009-03,7,10,2,19,10045,60,9.0,31.0,28.0,84.0
8,23.9,51.333333333333336,12.666666666666666,121.76666666666667,75.5,6.533333333333333,75.03333333333333,23.966666666666665,2009-04,77,29,6,112,8036,66,5.0,6.0,17.0,26.0
9,31.903225806451612,57.096774193548384,15.161290322580646,138.5483870967742,76.25806451612904,20.870967741935484,72.25806451612904,29.483870967741936,2009-05,71,26,11,108,8036,82,8.0,2.0,16.0,52.0
10,25.866666666666667,48.0,14.0,156.43333333333334,77.2,17.733333333333334,74.73333333333333,33.333333333333336,2009-06,44,24,25,93,10045,125,144.0,0.0,16.0,201.0
11,27.967741935483872,52.903225806451616,14.516129032258064,180.80645161290323,75.19354838709677,34.354838709677416,75.48387096774194,32.516129032258064,2009-07,73,34,43,150,8036,118,787.0,0.0,8.0,837.0
12,23.35483870967742,45.16129032258065,12.258064516129032,184.5483870967742,72.96774193548387,15.0,75.29032258064517,30.06451612903226,2009-08,60,46,58,164,10045,170,602.0,0.0,10.0,713.0
13,28.433333333333334,49.0,14.0,149.63333333333333,53.3,10.9,82.03333333333333,17.933333333333334,2009-09,32,29,30,91,8036,154,98.0,1.0,16.0,218.0
14,27.548387096774192,50.96774193548387,14.516129032258064,106.93548387096774,39.61290322580645,28.806451612903224,84.54838709677419,8.96774193548387,2009-10,41,31,43,115,8036,170,488.0,0.0,24.0,631.0
15,45.2,69.0,30.666666666666668,94.73333333333333,17.1,39.93333333333333,86.6,3.3666666666666667,2009-11,76,53,100,229,10045,235,655.0,0.0,30.0,870.0
16,33.03225806451613,52.58064516129032,22.903225806451612,22.258064516129032,19.258064516129032,27.0,87.06451612903226,2.096774193548387,2009-12,25,14,16,55,8036,206,44.0,0.0,22.0,126.0
17,29.548387096774192,48.064516129032256,17.419354838709676,-4.548387096774194,23.29032258064516,13.03225806451613,87.19354838709677,2.774193548387097,2010-01,11,9,5,25,8040,10,7.0,2.0,15.0,77.0
18,31.392857142857142,55.714285714285715,18.571428571428573,16.0,18.857142857142858,27.357142857142858,84.71428571428571,4.0,2010-02,8,8,4,20,8040,26,1.0,2.0,12.0,59.0
19,33.32258064516129,56.45161290322581,19.032258064516128,64.35483870967742,46.61290322580645,17.451612903225808,76.25806451612904,11.709677419354838,2010-03,8,10,2,20,10050,55,1.0,0.0,12.0,38.0
20,29.233333333333334,53.0,15.333333333333334,97.23333333333333,82.03333333333333,10.133333333333333,68.36666666666666,24.133333333333333,2010-04,6,7,2,15,8040,62,1.0,2.0,8.0,33.0
21,28.419354838709676,49.03225806451613,11.935483870967742,104.93548387096774,61.32258064516129,21.161290322580644,75.6774193548387,24.29032258064516,2010-05,6,5,1,12,10050,100,1.0,1.0,11.0,22.0
22,22.533333333333335,46.0,11.333333333333334,164.4,93.66666666666667,5.966666666666667,70.73333333333333,37.333333333333336,2010-06,6,6,1,13,8040,98,0.0,1.0,8.0,9.0
23,19.225806451612904,48.064516129032256,10.32258064516129,198.74193548387098,82.58064516129032,24.741935483870968,70.3225806451613,36.61290322580645,2010-07,6,6,1,13,8040,114,0.0,0.0,8.0,2.0
24,25.70967741935484,51.61290322580645,11.290322580645162,167.8709677419355,52.58064516129032,50.03225806451613,80.2258064516129,22.516129032258064,2010-08,6,5,1,12,10050,165,0.0,2.0,10.0,16.0
25,26.4,47.0,12.0,135.53333333333333,46.86666666666667,29.933333333333334,84.13333333333334,15.7,2010-09,8,7,2,17,8040,150,0.0,0.0,8.0,97.0
26,31.93548387096774,51.935483870967744,17.741935483870968,104.03225806451613,36.0,28.29032258064516,85.80645161290323,9.419354838709678,2010-10,9,8,2,19,8040,166,0.0,3.0,8.0,147.0
27,30.833333333333332,52.0,16.666666666666668,58.06666666666667,17.266666666666666,27.533333333333335,89.76666666666667,3.1666666666666665,2010-11,8,7,2,17,10050,230,6.0,5.0,10.0,370.0
28,27.612903225806452,46.45161290322581,16.451612903225808,-11.451612903225806,13.709677419354838,13.741935483870968,89.96774193548387,1.6129032258064515,2010-12,11,8,4,23,8040,202,75.0,38.0,16.0,811.0
29,31.483870967741936,50.32258064516129,18.70967741935484,35.193548387096776,22.322580645161292,27.774193548387096,90.09677419354838,2.838709677419355,2011-01,16,17,21,54,10055,15,460.0,232.0,30.0,1915.0
30,41.607142857142854,60.357142857142854,28.214285714285715,45.785714285714285,23.642857142857142,22.571428571428573,86.46428571428571,4.535714285714286,2011-02,9,10,8,27,8044,30,65.0,117.0,24.0,815.0
31,28.29032258064516,49.03225806451613,14.516129032258064,60.483870967741936,59.774193548387096,7.645161290322581,80.0,13.225806451612904,2011-03,8,10,3,21,8044,46,3.0,25.0,14.0,338.0
32,27.866666666666667,50.666666666666664,14.666666666666666,131.16666666666666,82.86666666666666,2.6,69.93333333333334,26.2,2011-04,5,6,2,13,8044,62,1.0,1.0,12.0,130.0
33,31.838709677419356,53.87096774193548,17.096774193548388,139.74193548387098,81.25806451612904,9.741935483870968,68.35483870967742,30.225806451612904,2011-05,5,7,1,13,10055,100,0.0,0.0,11.0,74.0
34,29.766666666666666,52.333333333333336,15.666666666666666,161.16666666666666,70.5,38.06666666666667,75.66666666666667,30.733333333333334,2011-06,5,6,1,12,8044,98,0.0,0.0,7.0,48.0
35,28.032258064516128,49.354838709677416,13.225806451612904,158.90322580645162,50.774193548387096,57.645161290322584,78.0,26.35483870967742,2011-07,5,3,1,9,8044,114,0.0,0.0,8.0,44.0
36,23.06451612903226,46.45161290322581,11.290322580645162,168.8709677419355,44.54838709677419,30.741935483870968,82.25806451612904,22.64516129032258,2011-08,6,5,1,12,10055,165,1.0,0.0,10.0,48.0
37,28.966666666666665,51.0,17.0,156.4,52.833333333333336,29.566666666666666,83.23333333333333,17.933333333333334,2011-09,7,7,2,16,8044,150,0.0,0.0,8.0,96.0
38,31.677419354838708,50.32258064516129,17.419354838709676,114.19354838709677,48.74193548387097,21.870967741935484,83.70967741935483,10.193548387096774,2011-10,9,7,3,19,10055,210,0.0,3.0,10.0,149.0
39,29.166666666666668,46.333333333333336,16.0,71.9,32.53333333333333,3.433333333333333,90.56666666666666,4.633333333333334,2011-11,8,8,3,19,8044,186,11.0,6.0,16.0,296.0
40,42.903225806451616,68.70967741935483,27.741935483870968,64.80645161290323,16.93548387096774,44.806451612903224,83.35483870967742,2.3225806451612905,2011-12,8,7,3,18,8044,202,7.0,1.0,16.0,540.0
41,39.0,59.03225806451613,25.161290322580644,48.806451612903224,21.612903225806452,27.161290322580644,84.38709677419355,2.838709677419355,2012-01,7,8,3,18,10060,15,21.0,0.0,20.0,746.0
42,33.6551724137931,52.41379310344828,17.93103448275862,8.0,35.89655172413793,6.758620689655173,81.48275862068965,5.206896551724138,2012-02,9,8,4,21,8048,30,168.0,16.0,20.0,706.0
43,25.225806451612904,45.806451612903224,12.580645161290322,82.93548387096774,53.67741935483871,6.354838709677419,81.7741935483871,13.193548387096774,2012-03,8,13,5,26,8048,46,200.0,9.0,20.0,490.0
44,32.5,59.333333333333336,16.333333333333332,83.83333333333333,40.43333333333333,15.733333333333333,78.6,16.166666666666668,2012-04,7,7,2,16,10060,80,115.0,16.0,26.0,309.0
45,26.548387096774192,49.67741935483871,12.903225806451612,144.51612903225808,67.41935483870968,27.096774193548388,75.51612903225806,28.64516129032258,2012-05,5,5,2,12,8048,82,4.0,6.0,19.0,75.0
46,29.5,54.0,16.0,148.66666666666666,52.766666666666666,30.2,75.73333333333333,26.066666666666666,2012-06,5,5,2,12,8048,98,2.0,1.0,10.0,71.0
47,27.258064516129032,49.03225806451613,14.516129032258064,172.5483870967742,64.51612903225806,29.387096774193548,76.48387096774194,30.548387096774192,2012-07,5,4,1,10,10060,145,0.0,0.0,8.0,53.0
48,22.774193548387096,48.064516129032256,11.935483870967742,184.58064516129033,70.48387096774194,29.548387096774192,77.64516129032258,29.419354838709676,2012-08,5,4,1,10,8048,134,2.0,0.0,8.0,41.0
49,26.0,49.333333333333336,14.0,141.53333333333333,54.266666666666666,18.866666666666667,80.6,17.966666666666665,2012-09,7,6,3,16,8048,150,1.0,0.0,8.0,65.0
50,28.806451612903224,50.32258064516129,18.06451612903226,105.03225806451613,34.903225806451616,32.935483870967744,85.0,8.774193548387096,2012-10,9,8,3,20,10060,210,3.0,4.0,10.0,196.0
51,32.6,53.666666666666664,20.666666666666668,68.4,19.833333333333332,13.533333333333333,89.13333333333334,3.5,2012-11,7,7,3,17,8048,186,5.0,7.0,10.0,269.0
52,37.903225806451616,63.87096774193548,21.93548387096774,50.38709677419355,11.32258064516129,47.354838709677416,89.38709677419355,1.8709677419354838,2012-12,9,6,5,20,10061,203,200.0,25.0,26.0,1050.0
53,36.064516129032256,55.806451612903224,22.903225806451612,20.161290322580644,21.451612903225808,18.967741935483872,84.90322580645162,2.7096774193548385,2013-01,15,14,10,39,8052,14,585.0,59.0,24.0,1060.0
54,31.785714285714285,51.785714285714285,20.0,16.607142857142858,27.857142857142858,16.964285714285715,82.07142857142857,5.035714285714286,2013-02,14,16,12,42,8052,30,734.0,322.0,24.0,1551.0
55,39.38709677419355,60.96774193548387,24.193548387096776,24.548387096774192,39.74193548387097,11.64516129032258,68.90322580645162,9.709677419354838,2013-03,10,12,6,28,8052,46,240.0,282.0,24.0,828.0
56,33.833333333333336,61.666666666666664,16.0,81.26666666666667,60.5,7.466666666666667,69.9,19.733333333333334,2013-04,10,9,5,24,10065,80,72.0,108.0,24.0,373.0
57,28.548387096774192,53.225806451612904,15.806451612903226,114.93548387096774,53.54838709677419,28.032258064516128,76.3225806451613,22.451612903225808,2013-05,6,6,2,14,8052,82,6.0,5.0,8.0,73.0
58,33.333333333333336,54.0,18.0,152.53333333333333,59.13333333333333,16.533333333333335,75.46666666666667,29.033333333333335,2013-06,5,5,1,11,8052,98,2.0,1.0,7.0,61.0
59,23.258064516129032,45.806451612903224,10.64516129032258,191.90322580645162,77.6774193548387,12.838709677419354,75.74193548387096,35.354838709677416,2013-07,4,5,1,10,10065,145,0.0,1.0,9.0,37.0
60,21.774193548387096,45.806451612903224,10.0,180.70967741935485,71.06451612903226,8.483870967741936,76.54838709677419,29.06451612903226,2013-08,5,3,1,9,8052,134,2.0,0.0,8.0,37.0
61,24.933333333333334,47.333333333333336,13.666666666666666,144.46666666666667,45.666666666666664,37.766666666666666,83.6,16.366666666666667,2013-09,7,6,3,16,12078,230,0.0,0.0,8.0,76.0
62,33.483870967741936,57.096774193548384,21.61290322580645,121.6774193548387,37.0,51.83870967741935,86.25806451612904,9.387096774193548,2013-10,11,9,3,23,16104,340,10.0,1.0,10,101.0
63,25.83333333333333,52.333333333333336,13.0,67.3,15.533333333333331,38.16666666666666,88.9,3.3,2013-11,9,7,3,19,16104,372,7.0,1.0,16,158.0
64,41.16129032258065,63.2258064516129,27.096774193548388,59.25806451612903,24.35483870967742,21.41935483870968,86.54838709677419,2.7096774193548385,2013-12,8,6,3,17,20132,406,12.0,0.0,16,582.0
65,39.193548387096776,62.25806451612903,27.41935483870968,56.516129032258064,21.580645161290324,19.967741935483872,85.87096774193549,2.967741935483871,2014-01,9,7,4,20,16112,28,45.0,1.0,18,615.0
66,48.42857142857143,71.42857142857143,31.785714285714285,65.0,31.25,23.607142857142858,81.28571428571429,6.035714285714286,2014-02,9,9,3,21,16112,60,105.0,7.0,19,672.0
67,29.806451612903224,51.61290322580645,16.774193548387096,84.12903225806451,65.38709677419355,8.096774193548388,74.90322580645162,15.258064516129032,2014-03,9,9,3,21,20140,120,147.0,7.0,15,456.0
68,24.766666666666666,48.333333333333336,12.666666666666666,121.13333333333334,58.3,19.33333333333333,75.5,21.966666666666665,2014-04,9,7,2,18,16112,132,67.0,3.0,10,178.0
69,26.12903225806452,49.354838709677416,13.870967741935484,132.38709677419354,62.064516129032256,32.83870967741935,76.2258064516129,26.096774193548388,2014-05,9,5,2,16,16112,164,14.0,4.0,8,85.0
70,21.766666666666666,45.0,9.666666666666666,161.83333333333334,76.0,9.966666666666669,73.53333333333333,33.63333333333333,2014-06,8,4,1,13,20140,250,1.0,2.0,9,66.0
71,23.870967741935484,45.80645161290322,10.96774193548387,197.51612903225808,69.12903225806451,44.16129032258065,77.6774193548387,33.064516129032256,2014-07,9,5,1,15,16112,236,5.0,0.0,9,33.0
72,26.806451612903224,50.32258064516129,13.225806451612904,160.90322580645162,64.19354838709677,48.0,81.7741935483871,24.548387096774192,2014-08,10,4,2,16,16112,268,0.0,0.0,12,44.0
73,20.066666666666663,39.66666666666666,7.666666666666667,158.53333333333333,57.96666666666667,6.666666666666667,84.13333333333334,19.433333333333334,2014-09,10,7,2,19,20140,380,5.0,0.0,13,97.0
74,28.548387096774192,49.03225806451613,17.741935483870968,134.29032258064515,32.225806451612904,24.0,87.87096774193549,8.935483870967742,2014-10,12,9,3,24,16112,340,16.0,14.0,21,135.0
75,31.133333333333333,49.0,18.33333333333333,81.73333333333333,29.566666666666663,15.433333333333334,88.33333333333333,4.633333333333334,2014-11,16,10,3,29,16112,372,24.0,4.0,24,170.0
76,39.64516129032258,64.19354838709677,25.161290322580644,48.45161290322581,18.90322580645161,31.870967741935484,84.7741935483871,2.2580645161290325,2014-12,13,10,6,29,20142,406,358.0,14.0,17,743.0
77,39.54838709677419,64.19354838709677,25.806451612903224,40.193548387096776,17.451612903225808,37.2258064516129,84.51612903225806,2.5806451612903225,2015-01,15,16,9,40,16120,28,964.0,40.0,26,1482.0
78,31.714285714285715,52.85714285714285,17.857142857142858,34.892857142857146,40.285714285714285,21.571428571428573,84.21428571428571,6.25,2015-02,21,21,11,53,16120,60,987.0,114.0,29,1854.0
79,33.96774193548387,58.70967741935484,19.032258064516128,61.58064516129032,50.54838709677419,19.193548387096776,78.25806451612904,11.67741935483871,2015-03,16,12,6,34,20150,120,188.0,254.0,26,920.0
80,26.266666666666666,53.0,12.666666666666666,89.9,80.13333333333334,6.9,71.9,23.433333333333334,2015-04,13,8,4,25,16120,132,22.0,85.0,18,251.0
81,29.64516129032258,57.74193548387097,13.225806451612904,123.64516129032258,71.61290322580645,14.903225806451612,70.29032258064517,27.64516129032258,2015-05,11,7,2,20,16120,164,1.0,25.0,10,79.0
82,28.5,50.333333333333336,12.333333333333334,156.0,77.63333333333334,10.733333333333333,70.23333333333333,33.53333333333333,2015-06,10,5,1,16,20150,250,0.0,3.0,14,76.0
83,27.193548387096776,56.45161290322581,14.516129032258064,183.83870967741936,73.35483870967742,29.451612903225808,74.54838709677419,32.483870967741936,2015-07,6,5,1,12,16120,236,0.0,0.0,9,38.0
84,22.870967741935484,47.41935483870968,13.225806451612904,184.5483870967742,68.70967741935483,36.74193548387097,78.3225806451613,29.32258064516129,2015-08,8,4,1,13,20150,340,1.0,0.0,8,49.0
85,27.966666666666665,51.0,13.666666666666666,134.0,49.53333333333333,29.4,83.6,16.466666666666665,2015-09,10,6,3,19,16120,308,4.0,1.0,13,94.0
86,21.225806451612904,38.38709677419355,10.32258064516129,98.90322580645162,40.38709677419355,10.483870967741936,88.35483870967742,9.419354838709678,2015-10,11,8,3,22,16120,340,5.0,2.0,14,119.0
87,41.4,65.33333333333333,28.0,98.8,19.266666666666666,49.36666666666667,85.53333333333333,3.9,2015-11,10,8,3,21,20150,470,32.0,8.0,17,233.0
88,45.41935483870968,67.09677419354838,30.64516129032258,96.29032258064515,21.12903225806452,13.451612903225806,84.80645161290323,2.870967741935484,2015-12,10,7,3,20,16120,412,114.0,6.0,15,504.0
89,37.935483870967744,61.61290322580645,26.451612903225808,47.83870967741935,18.774193548387096,37.41935483870968,86.70967741935483,2.677419354838709,2016-01,17,12,9,38,16128,20,461.0,36.0,29,1062.0
90,38.93103448275862,64.13793103448276,23.103448275862068,45.82758620689656,36.58620689655172,28.27586206896552,82.37931034482759,5.931034482758621,2016-02,19,20,16,55,20160,70,1208.0,413.0,30,2137.0
91,32.67741935483871,58.70967741935484,16.129032258064516,53.58064516129032,46.16129032258065,17.70967741935484,80.54838709677419,11.32258064516129,2016-03,15,18,9,42,16128,92,405.0,510.0,26,1149.0
92,28.933333333333334,56.333333333333336,15.0,86.8,64.93333333333334,27.433333333333334,75.5,20.4,2016-04,10,7,3,20,16128,124,52.0,117.0,12,269.0
93,31.774193548387096,52.903225806451616,13.870967741935484,145.09677419354838,69.83870967741936,14.612903225806452,70.51612903225806,28.93548387096774,2016-05,9,6,2,17,20160,200,15.0,22.0,8,97.0
94,23.366666666666667,43.0,11.666666666666666,168.2,53.2,51.4,81.1,28.4,2016-06,9,5,2,16,16128,196,3.0,0.0,10,41.0
95,24.387096774193548,47.41935483870968,10.32258064516129,183.70967741935485,66.41935483870968,23.516129032258064,77.64516129032258,31.35483870967742,2016-07,9,4,2,15,16128,228,1.0,0.0,10,48.0
96,26.774193548387096,49.354838709677416,11.612903225806452,178.80645161290323,78.45161290322581,23.06451612903226,79.12903225806451,28.096774193548388,2016-08,8,3,1,12,20160,330,5.0,2.0,9,39.0
97,20.966666666666665,42.333333333333336,10.333333333333334,172.63333333333333,70.26666666666667,5.733333333333333,79.1,21.9,2016-09,10,5,2,17,16128,300,9.0,1.0,13,58.0
98,24.12903225806452,42.58064516129032,13.225806451612904,98.87096774193547,42.67741935483871,15.064516129032258,85.96774193548387,9.483870967741936,2016-10,12,8,4,24,20160,420,11.0,2.0,14,147.0
99,29.566666666666663,51.0,15.666666666666666,54.13333333333333,27.6,24.8,88.2,3.933333333333333,2016-11,12,9,4,25,16128,372,63.0,7.0,19,502.0
100,29.193548387096776,43.87096774193548,20.0,46.67741935483871,18.90322580645161,5.387096774193548,90.2258064516129,2.225806451612903,2016-12,14,11,7,32,16128,404,480.0,8.0,24,1395.0
101,24.516129032258064,42.25806451612903,12.903225806451612,15.64516129032258,27.548387096774192,18.741935483870968,86.64516129032258,3.032258064516129,2017-01,15,17,9,41,20170,30,1855.0,24.0,24,2685.0
102,38.67857142857143,57.5,25.0,50.5,21.357142857142858,27.607142857142858,85.35714285714286,4.571428571428571,2017-02,13,16,7,36,16136,60,964.0,28.0,27,1285.0
103,32.67741935483871,58.064516129032256,17.741935483870968,85.93548387096774,56.61290322580645,19.967741935483872,77.03225806451613,13.935483870967742,2017-03,10,8,3,21,16136,92,139.0,22.0,16,277.0
104,25.5,47.66666666666666,12.666666666666666,85.56666666666666,61.8,7.9,73.0,19.933333333333334,2017-04,7,6,2,15,16136,124,15.0,12.0,20,77.0
105,24.06451612903226,51.61290322580645,12.258064516129032,149.70967741935485,72.83870967741936,11.35483870967742,72.58064516129032,31.225806451612904,2017-05,8,5,2,15,14119,137,9.0,15.0,10,47.0
106,28.166666666666668,50.333333333333336,14.666666666666666,180.4333333333333,71.3,20.2,70.96666666666667,33.0,2017-06,7,4,1,12,8068,98,1.0,2.0,7,21.0
107,22.741935483870968,49.354838709677416,10.32258064516129,179.4516129032258,63.903225806451616,42.32258064516129,76.87096774193549,31.193548387096776,2017-07,8,4,1,13,10085,145,6.0,1.0,9,27.0
108,18.774193548387096,41.935483870967744,10.32258064516129,172.48387096774192,58.0,17.096774193548388,78.96774193548387,25.61290322580645,2017-08,7,4,1,12,8068,134,3.0,1.0,8,18.0
109,24.7,43.66666666666666,13.666666666666666,136.76666666666668,47.833333333333336,40.3,85.53333333333333,16.5,2017-09,11,6,3,20,8068,150,1.0,1.0,11,65.0
110,34.74193548387097,55.80645161290322,19.677419354838708,133.4193548387097,35.483870967741936,27.387096774193548,82.6774193548387,9.193548387096774,2017-10,14,9,3,26,20170,420,18.0,12.0,16,135.0
111,27.466666666666665,47.0,15.0,72.63333333333334,21.33333333333333,24.7,87.26666666666667,3.7,2017-11,12,7,3,22,16136,372,21.0,17.0,18,254.0
112,33.61290322580645,56.45161290322581,20.32258064516129,48.80645161290322,7.967741935483871,52.29032258064516,89.25806451612904,1.5806451612903225,2017-12,14,13,5,32,16136,404,53.0,208.0,26,852.0
113,38.903225806451616,65.80645161290323,23.225806451612904,56.2258064516129,15.225806451612904,27.41935483870968,85.83870967741936,2.7096774193548385,2018-01,25,22,13,60,20180,30,193.0,729.0,29,1824.0
114,35.17857142857143,58.21428571428572,20.357142857142858,6.821428571428571,56.85714285714285,6.892857142857143,76.53571428571429,7.214285714285714,2018-02,25,32,20,77,16144,60,261.0,662.0,25,1386.0
115,37.483870967741936,63.2258064516129,23.870967741935484,47.38709677419355,42.67741935483871,19.0,76.6774193548387,10.774193548387096,2018-03,17,22,13,52,16144,92,310.0,320.0,29,928.0
116,27.066666666666663,53.333333333333336,12.666666666666666,121.53333333333332,58.4,26.366666666666667,75.63333333333334,21.066666666666663,2018-04,11,8,4,23,20180,160,111.0,38.0,11,258.0
117,24.64516129032258,48.38709677419355,12.258064516129032,164.25806451612902,91.2258064516129,12.096774193548388,69.0,35.67741935483871,2018-05,8,5,2,15,16144,164,14.0,0.0,10,43.0
118,28.666666666666668,47.333333333333336,13.333333333333334,174.96666666666667,68.3,3.6,74.83333333333333,32.56666666666667,2018-06,7,5,2,14,16144,196,3.0,0.0,9,41.0
119,23.93548387096774,49.354838709677416,11.290322580645162,207.0,109.87096774193547,1.4838709677419355,63.2258064516129,43.516129032258064,2018-07,7,4,2,13,20180,290,6.0,3.0,11,33.0
120,21.93548387096774,47.74193548387097,8.709677419354838,185.06451612903223,66.38709677419355,22.32258064516129,74.87096774193549,27.967741935483872,2018-08,7,4,1,12,16144,268,4.0,0.0,9,35.0
121,24.23333333333333,47.66666666666666,11.333333333333334,147.46666666666667,63.93333333333333,13.666666666666666,78.33333333333333,19.466666666666665,2018-09,12,7,3,22,16144,300,4.0,0.0,13,30.0
122,24.64516129032258,48.38709677419355,13.870967741935484,119.41935483870968,57.935483870967744,11.612903225806452,80.83870967741936,12.096774193548388,2018-10,13,8,4,25,20180,420,10.0,1.0,13,51.0
123,34.0,49.333333333333336,22.666666666666668,68.1,28.5,11.566666666666666,85.8,4.433333333333334,2018-11,13,9,4,26,16144,372,31.0,4.0,16,47.0
124,34.193548387096776,52.903225806451616,21.29032258064516,61.38709677419355,12.903225806451612,32.45161290322581,88.38709677419355,2.096774193548387,2018-12,14,16,6,36,20182,406,198.0,5.0,19,64.0
125,30.774193548387096,50.96774193548387,18.70967741935484,35.064516129032256,18.32258064516129,20.32258064516129,86.03225806451613,2.6129032258064515,2019-01,16,16,10,42,16152,28,707.0,4.0,20,102.0
126,30.642857142857142,49.642857142857146,18.928571428571427,60.92857142857143,48.85714285714285,24.071428571428573,82.17857142857143,8.214285714285714,2019-02,18,25,12,55,16152,60,2241.0,7.0,18,119.0
127,38.483870967741936,64.51612903225806,22.258064516129032,80.38709677419355,36.61290322580645,33.54838709677419,78.87096774193549,10.67741935483871,2019-03,13,16,6,35,16152,92,1276.0,4.0,18,58.0
128,32.96666666666667,55.66666666666666,18.0,109.2,82.33333333333333,12.0,65.56666666666666,25.166666666666668,2019-04,10,11,3,24,20190,160,356.0,1.0,8,28.0
129,27.096774193548388,50.0,10.0,117.19354838709675,72.74193548387096,12.935483870967742,73.29032258064517,28.29032258064516,2019-05,9,7,2,18,16152,164,47.0,4.0,10,8.0
130,23.83333333333333,51.0,12.0,181.3,86.06666666666666,40.36666666666667,71.6,37.5,2019-06,8,5,2,15,16152,196,13.0,4.0,10,6.0
131,19.61290322580645,42.58064516129032,10.64516129032258,187.9032258064516,77.51612903225806,16.967741935483872,70.96774193548387,34.935483870967744,2019-07,8,4,2,14,20190,290,7.0,1.0,9,7.0
132,24.32258064516129,47.096774193548384,11.290322580645162,184.29032258064515,75.80645161290323,22.387096774193548,74.58064516129032,29.193548387096776,2019-08,8,4,2,14,16152,268,10.0,0.0,10,2.0
133,26.4,47.333333333333336,14.0,145.3,52.46666666666667,32.86666666666667,79.33333333333333,17.266666666666666,2019-09,12,6,3,21,20190,380,7.0,0.0,12,24.0
134,28.225806451612904,51.935483870967744,18.70967741935484,115.58064516129032,32.193548387096776,33.87096774193548,85.51612903225806,8.32258064516129,2019-10,14,8,4,26,16152,340,7.0,3.0,16,37.0
135,27.33333333333333,45.0,16.0,63.66666666666666,25.53333333333333,33.666666666666664,88.16666666666667,4.1,2019-11,14,10,4,28,16152,372,49.0,2.0,17,39.0
136,33.645161290322584,56.45161290322581,22.90322580645161,58.41935483870968,26.12903225806452,23.29032258064516,85.80645161290323,2.677419354838709,2019-12,14,12,6,32,20192,406,548.0,6.0,20,85.0
137,37.29032258064516,56.774193548387096,23.225806451612904,62.096774193548384,12.935483870967742,16.451612903225808,87.90322580645162,2.4516129032258065,2020-01,28,21,10,59,16160,28,842.0,23.0,23,133.0
138,51.51724137931034,78.27586206896552,31.724137931034484,72.03448275862068,23.310344827586206,54.10344827586207,78.37931034482759,5.241379310344827,2020-02,43,39,17,99,16160,60,1099.0,37.0,22,177.0
139,43.29032258064516,66.12903225806451,22.258064516129032,68.19354838709677,59.83870967741935,21.580645161290324,70.35483870967742,14.35483870967742,2020-03,100,100,41,241,20200,120,901.0,95.0,25,227.0
140,28.966666666666665,52.66666666666666,14.666666666666666,111.16666666666669,93.83333333333331,4.066666666666666,61.833333333333336,28.33333333333333,2020-04,36,31,11,78,16160,132,23.0,2.0,21,57.0
141,28.32258064516129,52.25806451612903,12.258064516129032,131.09677419354838,104.6774193548387,3.7096774193548394,64.80645161290323,35.87096774193548,2020-05,19,15,4,38,16160,164,0.0,0.0,20,41.0
142,26.23333333333333,49.0,15.0,174.83333333333334,76.16666666666667,25.8,70.93333333333334,34.63333333333333,2020-06,15,11,3,29,20200,250,1.0,0.0,20,18.0
143,37.6,59.0,21.0,162.5,40.3,36.7,80.7,22.9,2020-07,16,9,3,28,16160,236,0.0,0.0,15,14.0